AMBAR SALA DE BELLEZA PLAZA COLORINES,Lunes Sabado 8 20
AMBAR SALA DE BELLEZA PLAZA DUENDES,Lunes Sabado 8 20
AMBAR SALA DE BELLEZA PLAZA SANTA BARBARA,Lunes Sabado 8 20
BEAUTIQUE,Lunes Domingo 8 20
BEAUTY BAR HAIR SALON,Lunes Sabado 9 20
BIOLOGIQUE,Lunes Viernes 9 20,Sabado Sabado 10 19
BLUSH,Lunes Sabado 10 19
CASA MARIA,Lunes Sabado 10 18
COQUET,Lunes Sabado 9 19
D'CLASS,Lunes Sabado 10 20
DANIELA DE LA GARZA SALON,Lunes Sabado 9:30 19
DENISSE PROFESSIONAL SALON SPA,Lunes Sabado 10 20
ELIZA CANTU PLAZA 02,Lunes Sabado 10 22
GLAMCY PLAZA SIMONE,Lunes Martes 9 19
HEADCETERA,Martes Sabado 12 20
HELWE,Lunes Sabado 10 20
ILATINA,Lunes Sabado 10 20
LA PELUQUERIA,Lunes Sabado 11 20
LAURA HERRERA,Lunes Sabado 9 19
LOS BETOS,Lunes Sabado 11 19
MALAIKAH,Lunes Viernes 10 20
MANDARA BEAUTY CENTER,Lunes Sabado 10 20
MANOLO & MANOLA,Lunes Domingo 9:30 20
MINZE SALON,Lunes Viernes 9 19:30
MUST BEAUTY ROOM,Lunes Viernes 9 20,Sabado 9 19
NUUK BEAUTY ROOM,Lunes Martes 9 19
NUUK BEAUTY ROOM,Miercoles Domingo 8 19
OH DARLING,Lunes Sabado 10 19
OHH LA LA BEAUTY ROOM,Lunes Viernes 9 19,Sabado 9 17
PAVLOHA,Lunes Viernes 10 20
PHILOMENA SALON,Lunes Sabado 10 19 
PHOENIX&CROWN,Lunes Jueves 10 19
PHOENIX&CROWN,Viernes Sabado 10 20
PONTE GUAPA,Martes Sabado 9 19:30
PURE CHIC PLAZA FIESTA ANAHUAC,Lunes Sabado 10 21:30,Domingo 10 20
PURE CHIC PASEO SAN PEDRO,Lunes Sabado 10 21:30,Domingo 10 20
PURE CHIC VALLE OTE,Lunes Sabado 10 21:30,Domingo 10 20
QUIRINA,Martes Sabado 10 21:30,Domingo 10 19
REDD CHIC SALON,Lunes Sabado 10 19
RIZZE SALON,Lunes Sabado 9 19
SALON 7,Lunes Sabado 8 19
SHEYLA MARINA SALON,Lunes Sabado 9 19
SHINE ESTILISTAS,Lunes Sabado 10 20
SILVIA GALVAN,Lunes Sabado 10 20
STUDIO E BEAUTY BOUTIQUE,Martes Sabado 9 19
STYLISH BEAUTY SALON,Lunes Viernes 11 19,Sabado 11 19:30
SUSY MAIN ENTRANCE,Lunes Viernes 8 20,Sabado 8 20,Domingo 10 20
SUSY NUEVO SUR,Lunes Miercoles 10 20
SUSY NUEVO SUR,Jueves Viernes 10 22
SUSY NUEVO SUR,Sabado Domingo 10 20
SUSY 401 SUR,Lunes Miercoles 10 20
SUSY 401,Jueves Viernes 10 22
SUSY 401,Sabado Domingo 10 20
THE BEAUTY PLACE NAILS & BODY,Lunes Sabado 10 19
ZAIALAIN,Lunes Sabado 8 18
