fkEstetica,dia,horaAbre,horaCierra
AMBAR SALA DE BELLEZA PLAZA COLORINES,Lunes,8,20
AMBAR SALA DE BELLEZA PLAZA COLORINES,Martes,8,20
AMBAR SALA DE BELLEZA PLAZA COLORINES,Miercoles,8,20
AMBAR SALA DE BELLEZA PLAZA COLORINES,Jueves,8,20
AMBAR SALA DE BELLEZA PLAZA COLORINES,Viernes,8,20
AMBAR SALA DE BELLEZA PLAZA COLORINES,Sabado,8,20
AMBAR SALA DE BELLEZA PLAZA DUENDES,Lunes,8,20
AMBAR SALA DE BELLEZA PLAZA DUENDES,Martes,8,20
AMBAR SALA DE BELLEZA PLAZA DUENDES,Miercoles,8,20
AMBAR SALA DE BELLEZA PLAZA DUENDES,Jueves,8,20
AMBAR SALA DE BELLEZA PLAZA DUENDES,Viernes,8,20
AMBAR SALA DE BELLEZA PLAZA DUENDES,Sabado,8,20
AMBAR SALA DE BELLEZA PLAZA SANTA BARBARA,Lunes,8,20
AMBAR SALA DE BELLEZA PLAZA SANTA BARBARA,Martes,8,20
AMBAR SALA DE BELLEZA PLAZA SANTA BARBARA,Miercoles,8,20
AMBAR SALA DE BELLEZA PLAZA SANTA BARBARA,Jueves,8,20
AMBAR SALA DE BELLEZA PLAZA SANTA BARBARA,Viernes,8,20
AMBAR SALA DE BELLEZA PLAZA SANTA BARBARA,Sabado,8,20
BEAUTIQUE,Lunes,8,20
BEAUTIQUE,Martes,8,20
BEAUTIQUE,Miercoles,8,20
BEAUTIQUE,Jueves,8,20
BEAUTIQUE,Viernes,8,20
BEAUTIQUE,Sabado,8,20
BEAUTIQUE,Domingo,8,20
BEAUTY BAR HAIR SALON,Lunes,9,20
BEAUTY BAR HAIR SALON,Martes,9,20
BEAUTY BAR HAIR SALON,Miercoles,9,20
BEAUTY BAR HAIR SALON,Jueves,9,20
BEAUTY BAR HAIR SALON,Viernes,9,20
BEAUTY BAR HAIR SALON,Sabado,9,20
BIOLOGIQUE,Lunes,9,20
BIOLOGIQUE,Martes,9,20
BIOLOGIQUE,Miercoles,9,20
BIOLOGIQUE,Jueves,9,20
BIOLOGIQUE,Viernes,9,20
BIOLOGIQUE,Sabado,10,19
BLUSH,Lunes,10,19
BLUSH,Martes,10,19
BLUSH,Miercoles,10,19
BLUSH,Jueves,10,19
BLUSH,Viernes,10,19
BLUSH,Sabado,10,19
CASA MARIA,Lunes,10,18
CASA MARIA,Martes,10,18
CASA MARIA,Miercoles,10,18
CASA MARIA,Jueves,10,18
CASA MARIA,Viernes,10,18
CASA MARIA,Sabado,10,18
COQUET,Lunes,9,19
COQUET,Martes,9,19
COQUET,Miercoles,9,19
COQUET,Jueves,9,19
COQUET,Viernes,9,19
COQUET,Sabado,9,19
D'CLASS,Lunes,10,20
D'CLASS,Martes,10,20
D'CLASS,Miercoles,10,20
D'CLASS,Jueves,10,20
D'CLASS,Viernes,10,20
D'CLASS,Sabado,10,20
DANIELA DE LA GARZA SALON,Lunes,9:30,19
DANIELA DE LA GARZA SALON,Martes,9:30,19
DANIELA DE LA GARZA SALON,Miercoles,9:30,19
DANIELA DE LA GARZA SALON,Jueves,9:30,19
DANIELA DE LA GARZA SALON,Viernes,9:30,19
DANIELA DE LA GARZA SALON,Sabado,9:30,19
DENISSE PROFESSIONAL SALON SPA,Lunes,10,20
